date,county,state,fips,cases,deaths
2021-01-03,Autauga,Alabama,1001,4305,50
2021-01-03,Baldwin,Alabama,1003,14064,169
2021-01-03,Barbour,Alabama,1005,1530,33
2021-01-03,Bibb,Alabama,1007,1882,46
2021-01-03,Blount,Alabama,1009,4746,63
2021-01-03,Bullock,Alabama,1011,900,22
2021-01-03,Butler,Alabama,1013,1546,45
2021-01-03,Calhoun,Alabama,1015,9731,157
2021-01-03,Chambers,Alabama,1017,2402,63
2021-01-03,Cherokee,Alabama,1019,1438,22
2021-01-03,Chilton,Alabama,1021,3032,54
2021-01-03,Choctaw,Alabama,1023,493,22
2021-01-03,Clarke,Alabama,1025,2461,26
2021-01-03,Clay,Alabama,1027,1158,34
2021-01-03,Cleburne,Alabama,1029,1048,16
2021-01-03,Coffee,Alabama,1031,3723,38
2021-01-03,Colbert,Alabama,1033,4766,60
2021-01-03,Conecuh,Alabama,1035,866,17
2021-01-03,Coosa,Alabama,1037,525,7
2021-01-03,Covington,Alabama,1039,2955,40
2021-01-03,Crenshaw,Alabama,1041,968,36
2021-01-03,Cullman,Alabama,1043,7258,78
2021-01-03,Dale,Alabama,1045,3423,63
2021-01-03,Dallas,Alabama,1047,2837,43
2021-01-03,DeKalb,Alabama,1049,7022,62
2021-01-03,Elmore,Alabama,1051,6671,83
2021-01-03,Escambia,Alabama,1053,2719,34
2021-01-03,Etowah,Alabama,1055,10324,96
2021-01-03,Fayette,Alabama,1057,1460,19
2021-01-03,Franklin,Alabama,1059,3336,38
2021-01-03,Geneva,Alabama,1061,1732,20
2021-01-03,Greene,Alabama,1063,688,20
2021-01-03,Hale,Alabama,1065,1501,33
2021-01-03,Henry,Alabama,1067,1296,8
2021-01-03,Houston,Alabama,1069,7525,64
2021-01-03,Jackson,Alabama,1071,5254,34
2021-01-03,Jefferson,Alabama,1073,54012,719
2021-01-03,Lamar,Alabama,1075,1074,15
2021-01-03,Lauderdale,Alabama,1077,6682,70
2021-01-03,Lawrence,Alabama,1079,2115,43
2021-01-03,Lee,Alabama,1081,10560,75
2021-01-03,Limestone,Alabama,1083,7037,58
2021-01-03,Lowndes,Alabama,1085,962,32
2021-01-03,Macon,Alabama,1087,1021,30
2021-01-03,Madison,Alabama,1089,23364,179
2021-01-03,Marengo,Alabama,1091,1830,26
2021-01-03,Marion,Alabama,1093,2152,43
2021-01-03,Marshall,Alabama,1095,9314,86
2021-01-03,Mobile,Alabama,1097,26677,508
2021-01-03,Monroe,Alabama,1099,1233,11
2021-01-03,Montgomery,Alabama,1101,16446,276
2021-01-03,Morgan,Alabama,1103,10974,89
2021-01-03,Perry,Alabama,1105,887,10
2021-01-03,Pickens,Alabama,1107,1774,26
2021-01-03,Pike,Alabama,1109,2037,23
2021-01-03,Randolph,Alabama,1111,1276,30
2021-01-03,Russell,Alabama,1113,2866,6
2021-01-03,Shelby,Alabama,1117,16186,103
2021-01-03,St. Clair,Alabama,1115,6752,73
2021-01-03,Sumter,Alabama,1119,865,24
2021-01-03,Talladega,Alabama,1121,5274,76
2021-01-03,Tallapoosa,Alabama,1123,2411,98
2021-01-03,Tuscaloosa,Alabama,1125,19043,218
2021-01-03,Walker,Alabama,1127,5374,138
2021-01-03,Washington,Alabama,1129,1224,24
2021-01-03,Wilcox,Alabama,1131,896,19
2021-01-03,Winston,Alabama,1133,2031,30
2021-01-03,Aleutians East Borough,Alaska,2013,38,0
2021-01-03,Aleutians West Census Area,Alaska,2016,208,0
2021-01-03,Anchorage,Alaska,2020,23179,121
2021-01-03,Bethel Census Area,Alaska,2050,2675,9
2021-01-03,Bristol Bay plus Lake and Peninsula,Alaska,2997,159,0
2021-01-03,Denali Borough,Alaska,2068,59,0
2021-01-03,Dillingham Census Area,Alaska,2070,125,1
2021-01-03,Fairbanks North Star Borough,Alaska,2090,5016,20
2021-01-03,Haines Borough,Alaska,2100,20,0
2021-01-03,Juneau City and Borough,Alaska,2110,1038,3
2021-01-03,Kenai Peninsula Borough,Alaska,2122,3634,16
2021-01-03,Ketchikan Gateway Borough,Alaska,2130,241,1
2021-01-03,Kodiak Island Borough,Alaska,2150,929,2
2021-01-03,Kusilvak Census Area,Alaska,2158,877,2
2021-01-03,Matanuska-Susitna Borough,Alaska,2170,6498,18
2021-01-03,Nome Census Area,Alaska,2180,280,0
2021-01-03,North Slope Borough,Alaska,2185,816,3
2021-01-03,Northwest Arctic Borough,Alaska,2188,405,0
2021-01-03,Petersburg Borough,Alaska,2195,27,0
2021-01-03,Prince of Wales-Hyder Census Area,Alaska,2198,67,1
2021-01-03,Sitka City and Borough,Alaska,2220,266,0
2021-01-03,Skagway Municipality,Alaska,2230,16,0
2021-01-03,Southeast Fairbanks Census Area,Alaska,2240,405,3
2021-01-03,Unknown,Alaska,NA,226,0
2021-01-03,Valdez-Cordova Census Area,Alaska,2261,356,2
2021-01-03,Wrangell City and Borough,Alaska,2275,24,0
2021-01-03,Yakutat plus Hoonah-Angoon,Alaska,2998,53,1
2021-01-03,Yukon-Koyukuk Census Area,Alaska,2290,209,4
2021-01-03,Apache,Arizona,4001,7758,244
2021-01-03,Cochise,Arizona,4003,7873,136
2021-01-03,Coconino,Arizona,4005,11691,214
2021-01-03,Gila,Arizona,4007,4684,136
2021-01-03,Graham,Arizona,4009,3414,51
2021-01-03,Greenlee,Arizona,4011,415,4
2021-01-03,La Paz,Arizona,4012,1609,35
2021-01-03,Maricopa,Arizona,4013,342994,5239
2021-01-03,Mohave,Arizona,4015,13590,350
