fips,date,county,state,cases_w30,deaths_w30,fully_w30,dose1_w30,cases_w26,deaths_w26,fully_w26,dose1_w26,cases_w27,deaths_w27,fully_w27,dose1_w27,cases_w28,deaths_w28,fully_w28,dose1_w28,cases_w29,deaths_w29,fully_w29,dose1_w29,population,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,density,votergap20,votergap16,never,rarely,sometimes,frequently,always,rate_w30,rate_w29,rate_w28,rate_w27
1001,2021-07-25,Autauga,Alabama,7419,113,26,34,7244,113,24.6,31.7,7262,113,24.9,32.3,7299,113,25.3,32.7,7347,113,25.6,33.4,50756,2.842,22.733,51.475,5.2,54.366,13.8,21.9,28.6,34.1,91.8,-44.4184372,-49.479,5.3,7.4,13.4,29.5,44.4,0.00141855150130034,0.000945701000866893,0.000728977854834896,0.000354637875325085
1003,2021-07-25,Baldwin,Alabama,23810,325,31.4,40.5,21945,314,29.8,37.3,22043,315,30.4,38.5,22267,318,30.7,39,22802,323,31,39.5,179878,4.55,12.934,51.261,5.5,49.626,11,28.6,22.3,27.4,114.6,-53.7623428,-57.786,8.3,5.9,9.8,32.3,43.6,0.00560379812984356,0.00297423809470864,0.00124528847329857,0.000544813707068124
1005,2021-07-25,Barbour,Alabama,2434,61,27.6,34.3,2344,60,24.3,30.8,2347,60,25.9,32.7,2365,60,26.7,33.1,2394,60,27.3,33.6,29737,4.424,49.885,46.589,8.9,34.971,25.4,13.6,31.8,44.4,31,-7.6630538,-5.611,6.7,12.1,12,20.1,49.1,0.001345125601103,0.000975216060799677,0.000605306520496351,0.000100884420082725
1007,2021-07-25,Bibb,Alabama,2801,65,22.5,29.4,2686,64,21,27.6,2693,64,21.5,28,2702,65,21.9,28.5,2727,65,22.2,28.7,21587,2.409,23.93,46.11,6.6,39.546,22.1,10.2,33.9,40.3,36.8,-57.7279833,-55.544,2,3.4,9.6,27.8,57.2,0.00342798906749433,0.00115810441469403,0.00041691758928985,0.000324269236114328
1009,2021-07-25,Blount,Alabama,7184,139,19.3,24.2,6967,139,18.4,22.9,6988,139,18.5,23.2,7023,139,18.8,23.4,7099,139,19,23.7,58345,8.954,4.229,50.592,5.4,45.567,21.9,12.3,28,34.6,88.9,-80.0021748,-81.382,5.3,11.4,18,19.4,45.9,0.00145685148684549,0.00130259662353244,0.000599880023995201,0.000359928014397121
1011,2021-07-25,Bullock,Alabama,1256,42,34.2,43.6,1247,42,32.4,41,1250,42,32.7,42.1,1250,42,33.1,42.6,1252,42,33.4,42.9,10985,7.526,72.831,45.241,7.8,26.58,34.5,14.1,31.7,43,17.5,49.8590938,50.862,3.1,4,14.4,28.6,50,0.000364132908511607,0.000182066454255803,0,0.000273099681383705
1013,2021-07-25,Butler,Alabama,2361,72,26.5,34.5,2255,71,25,32.4,2264,71,25.3,33,2279,71,25.7,33.5,2301,71,26,33.9,19964,1.171,46.447,53.503,7.5,32.512,23.4,14.3,34.4,36.3,27,-15.7356661,-13.529,10.2,5.3,25.7,13.7,45.1,0.00300540973752755,0.00110198357042677,0.000751352434381887,0.000450811460629132
1015,2021-07-25,Calhoun,Alabama,15130,332,30.5,37.1,14761,330,29.3,35.2,14778,330,29.5,35.7,14833,331,29.8,36.1,14915,331,30.2,36.4,114081,3.614,24.433,51.777,7,41.123,19.9,16.9,31.3,32.2,195.7,-39.0031972,-41.384,15.2,10.8,13,16.7,44.2,0.00188462583602879,0.000718787528159816,0.000482113585960852,0.000149016926569718
1017,2021-07-25,Chambers,Alabama,3852,125,20.9,25.4,3733,124,20,23.8,3738,123,20.2,24.2,3760,123,20.4,24.6,3786,124,20.7,24.9,34320,2.025,42.127,52.114,6,34.116,22.5,12.2,31.6,39.7,57.4,-15.6241821,-14.806,11.7,3.7,15,13.6,56,0.00192307692307692,0.000757575757575758,0.000641025641025641,0.000145687645687646
1019,2021-07-25,Cherokee,Alabama,1939,48,22.5,26.6,1874,45,21.9,25.6,1874,45,22,25.8,1896,47,22.2,26,1909,47,22.3,26.2,24448,1.539,7.355,50.35,5.4,38.013,20.5,13.7,33.5,33.6,46.9,-72.8314771,-69.361,13.5,2.7,16.1,15.8,52,0.0012270942408377,0.000531740837696335,0.000899869109947644,0
