fips,population,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,density,votergap20,votergap16
31037,10332,43.916,9.183,48.517,2.6,50.758,28.1,14.1,25.5,31.5,11.4,-43.3414043,-41.425
24019,32043,4.919,32.272,52.301,7.4,42.279,17.6,19.3,30.3,35.7,320.2,-11.9359079,-15.983
51019,67154,2.053,10.154,50.575,4.4,55.507,11.8,26.3,24,33.1,8.9,-48.1291993,-49.412
45031,66445,2.081,43.465,52.807,7.4,35.64,19.5,16.1,32.5,37.7,36.8,-4.9726995,-3.735
5135,17664,2.105,4.689,50.591,7.1,32.101,18.5,10.6,31.4,37.3,28.6,-60.0052868,-54.278
55019,33426,4.43,2.569,49.499,4.4,45.316,18.2,11.7,23.9,34.1,28.7,-36.7700363,-32.625
53057,119534,17.879,9.335,50.418,6.7,51.395,11.8,24.5,17.9,26.4,67.5,7.477221,6.617
53003,21432,3.823,5.772,51.509,4.7,44.055,11.3,18.5,21.9,33.4,34,-25.6798594,-26.786
8003,15424,45.823,12.318,49.818,5.2,38.14,15.4,24.1,16.8,23,21.4,-0.6915984,1.986
26107,41775,2.166,6.933,49.876,5.9,41.572,10.4,22.2,25.9,35,58,-27.9918286,-26.112
5085,66677,4.173,9.822,50.625,4.3,54.459,12.8,18.7,29.9,35.8,88.7,-52.8276042,-52.816
13207,25425,2.254,26.241,49.681,5.6,53.542,19.7,19.8,26.7,31.9,66.8,-42.8168291,-41.428
13257,25700,3.197,15.235,51.755,6.5,36.87,17.9,15.7,30.2,30.1,146.1,-58.7547329,-59.908
19045,48934,3.065,6.115,50.85,4.9,48.528,9.4,19.2,26.5,33.4,23.3,-10.5237574,-5.143
31171,565,2.047,1.608,47.661,3,39.537,6.4,24.2,26.8,32.8,9.1,-77.7517564,-81.137
10005,192747,9.464,17.516,51.485,5,53.316,14.7,21.9,25.5,31,210.6,-11.2468304,-21.999
47085,18274,2.333,5.294,50.477,6.9,42.837,15.3,13.6,32.2,35.6,42.1,-49.8178728,-41.476
29149,10291,1.561,4.793,50.808,6.3,29.415,19.1,9.3,25.6,32.4,26.6,-63.8109306,-60.099
18009,13051,1.618,2.838,50.732,6,39.563,13.5,10.5,29.7,36,21.8,-46.0661558,-43.675
13249,4325,4.315,23.026,52.709,6.6,39.601,25.9,14.1,25.9,30.4,30,-58.8131868,-56.103
51033,27870,4.512,32.928,50.884,5.1,56.099,18.1,19.3,20.7,29.6,54.1,-4.1687131,-5.06
5121,17952,1.866,3.097,50.816,7.4,37.761,18.4,14.4,39.4,35.3,27.6,-60.7751027,-48.338
27005,32076,2.004,12.514,50.045,4.4,51.116,9.5,21.6,22.7,32.6,782.1,-30.1479305,-33.189
49053,137473,10.127,6.289,50.5,4,50.169,7.8,27.1,17.1,23.7,20,-51.3495114,-51.422
27143,14925,8.592,3.052,49.573,4.1,59.893,11,15.8,26.6,33.3,204.4,-40.7832466,-41.918
1011,10985,7.526,72.831,45.241,7.8,26.58,34.5,14.1,31.7,43,17.5,49.8590938,50.862
39139,124490,1.812,12.56,49.129,5.6,41.948,13.3,15.9,28.9,32.8,71.5,-39.7365569,-37.544
26041,36918,1.174,5.564,50.529,6.5,43.338,8.8,18,22.4,32.1,25.3,-26.4810174,-25.348
38073,5500,1.762,3.322,49.046,2.4,56.27,10.3,18.6,28.6,33.1,9.6,-19.2746536,-16.098
51183,12116,2.825,59.752,40.64,6.8,37.748,31.4,9,25.5,35.9,24.7,11.9496855,16.263
38079,13797,1.843,79.623,50.945,10.1,35.63,18.5,20,29.6,41.4,11.4,32.2029443,24.222
35017,29903,49.904,6.627,50.697,6.6,38.221,14.8,25.6,18.8,21.8,12.9,7.1839279,7.669
17165,25738,1.67,7.231,50.75,7.7,38.329,14.6,14,23.3,30.1,410.6,-48.0209651,-50.712
12097,270618,51.033,20.105,50.852,5.7,42.945,15.8,17.8,25.3,29.1,202.4,13.812081,25.028
28155,9852,1.414,21.113,50.823,7.3,34.073,16.7,19,35,33.9,25.6,-60.2038925,-58.678
42121,54183,1.111,3.072,50.756,5.8,43.81,10.8,15.9,23,34.7,142.2,-41.4053076,-42.383
4007,52199,18.721,20.219,50.432,8,37.677,16.4,17.1,24.5,27.5,11.3,-34.1045477,-32.368
