fips,never,rarely,sometimes,frequently,always
1001,5.3,7.4,13.4,29.5,44.4
1003,8.3,5.9,9.8,32.3,43.6
1005,6.7,12.1,12,20.1,49.1
1007,2,3.4,9.6,27.8,57.2
1009,5.3,11.4,18,19.4,45.9
1011,3.1,4,14.4,28.6,50
1013,10.2,5.3,25.7,13.7,45.1
1015,15.2,10.8,13,16.7,44.2
1017,11.7,3.7,15,13.6,56
1019,13.5,2.7,16.1,15.8,52
1021,6,7,5.8,19.4,61.8
1023,4.9,3.8,12.6,21.9,56.8
1025,4.9,8.8,16.4,26.8,43
1027,14.8,15.8,19.5,16.9,32.9
1029,15.1,12.5,13.8,21.7,36.8
1031,10.1,15.2,9.4,18.6,46.6
1033,8.2,9.6,15.2,15.9,51
1035,9.9,5.2,25.9,19.2,39.9
1037,5.5,13.1,16.7,26.3,38.4
1039,18.7,12.8,12.9,20.1,35.6
1041,6,9.1,19.9,23.3,41.6
1043,13,2.4,24.9,21.7,37.9
1045,8.9,11.3,11.8,22,46
1047,9.5,10,15.9,12.2,52.4
1049,8.4,5.1,10.6,17.9,58
1051,4.2,9.5,12.7,25.2,48.5
1053,11.4,2.6,18.8,28.5,38.7
1055,9.6,10.3,17.8,12.2,50.1
1057,13.8,4.8,15.1,23.3,42.9
1059,6.5,7.1,22.3,15.6,48.4
1061,17.6,13.1,8.9,15.8,44.5
1063,3,5.3,12.7,16.7,62.3
1065,2.6,6.1,8.4,19.1,63.9
1067,6.6,6.8,17,25.8,43.8
1069,8.5,7.9,13.5,26.8,43.3
1071,9.2,8.9,11,24.9,46
1073,4.9,3.7,10.7,17.9,62.8
1075,10.7,4.5,13.2,18.9,52.7
1077,9.3,11.9,14.1,17.9,46.9
1079,16.2,8,8.8,25.1,41.9
1081,5.3,6.4,13.8,18.3,56.2
1083,10.2,3.4,13.3,33.6,39.5
1085,12,7.3,14.5,19.9,46.4
1087,0.8,3.3,24.1,17.2,54.5
1089,6.2,5,12.3,17.7,58.9
1091,3.3,15.1,11.8,18.6,51.2
1093,12.9,6.4,24.6,20.7,35.3
1095,7.5,6.4,12.9,25.3,47.9
1097,7.7,7,10.2,24.4,50.6
1099,11.2,4.1,18.2,28.8,37.8
1101,5.6,9.5,12.3,21.2,51.3
1103,7.8,7.7,8.2,30.4,45.9
1105,2.5,8.4,8.7,18.7,61.8
1107,3.1,6,16.9,15.7,58.4
1109,6,13.1,14.5,33.3,33
1111,15.8,22.6,10.5,14.4,36.8
1113,6.9,6.7,8,21.3,57
1115,2.7,13.4,14.4,20,49.5
1117,2.2,7.5,11.8,24,54.5
1119,5.5,6.8,11.8,19.7,56.2
1121,11.3,15,20.8,16.9,36.1
1123,6.7,9.5,13.6,29.6,40.6
1125,4.1,3.6,14.4,24.7,53.2
1127,9,8.1,14.5,25.6,42.9
1129,1.8,7.7,10.2,30.7,49.5
1131,6.1,9.8,19.9,18.7,45.5
1133,13,4.6,32.8,18.3,31.2
2013,6.7,3.2,3.4,31.6,55.1
2016,7.8,3.1,3,33.7,52.4
2020,4.2,5,4.9,19.6,66.3
2050,10.1,2.2,1.4,45,41.3
2060,4.8,3.7,4.2,30.8,56.4
2068,6.2,8.1,6.7,22.5,56.5
2070,7.2,2.5,2.7,39.1,48.4
2090,9.4,8.4,17.5,23.4,41.3
2100,5.5,5,12.3,41.9,35.2
2105,5.1,6.4,13,39.9,35.6
2110,5.1,6.7,13.3,39.6,35.3
2122,4.3,4.7,5.1,19.7,66.2
2130,2.5,14.9,17.4,25.6,39.6
2150,4.2,4.3,4.9,23.3,63.3
2158,10.3,2.2,0.7,52.1,34.7
2164,5.5,3.6,4,29.9,57.1
2170,4.2,5.1,4.8,19.8,66
2180,8.6,6.1,0.9,54.4,30
2185,3.6,5.9,23.5,21.5,45.5
2188,3.5,18.8,5.1,47.4,25.2
2195,4.2,9.5,14.8,34.9,36.5
2198,3.3,12.5,16.1,30,38
2220,4.8,7.7,13.7,38.1,35.7
2230,5.8,3.8,11.6,43.5,35.4
2240,6.4,7.1,14,27.2,45.3
2261,4,4.9,5.2,19.7,66.3
2275,3.5,11.9,16,31.2,37.4
2282,4.7,1.2,7.8,38.1,48.1
2290,4.4,4.7,12.6,42.5,35.8
4001,5.5,6.3,3.1,15,70.1
4003,5.3,2.5,14.7,19.4,58.1
4005,3.9,8,7,11,70.2
4007,7.3,1.4,3,33.6,54.7
4009,9.5,6.7,23.7,4.9,55.3
4011,11.1,8.9,16.7,8.9,54.4
4012,3.1,6.4,16.2,17.3,57
4013,2.3,2.5,5.9,15.8,73.4
4015,5.1,9.6,10.4,16.4,58.5
4017,9.1,10.8,5.9,13.9,60.2
4019,2.3,2.4,7.3,12.1,75.9
4021,3.3,5.5,9.6,14.8,66.7
4023,2.8,0.2,5.8,7.4,83.7
4025,3.1,7.3,8.1,17.6,63.9
4027,0.8,1.3,4.6,12.9,80.4
5001,1.9,7.3,13.4,21.6,55.7
5003,2.3,10.3,16.3,11.7,59.5
5005,15,10.4,10.8,10.4,53.4
5007,8.1,3.4,8.3,16,64.3
5009,12.9,14.5,12.2,18.9,41.6
5011,9.4,10.2,17.5,18.4,44.5
5013,14.5,13.2,10.8,21.1,40.4
5015,11.1,6.8,11.5,12.9,57.7
5017,10.4,7.4,19.3,9.7,53.1
