TimeMin,PickupCount,Day
860,33,Fri
17,75,Sun
486,13,Sun
300,5,Thu
385,10,Thu
639,37,Thu
819,28,Tue
883,35,Thu
690,27,Sat
68,95,Sat
40,24,Wed
442,22,Thu
1077,69,Mon
727,22,Mon
800,34,Fri
1396,79,Fri
709,33,Tue
148,7,Wed
1072,19,Sun
851,13,Mon
1365,46,Tue
1279,31,Sat
863,38,Tue
124,46,Sun
1123,92,Fri
633,35,Tue
342,6,Tue
381,8,Thu
740,30,Mon
1029,40,Thu
1236,38,Sat
1258,32,Sun
198,8,Fri
679,33,Wed
198,8,Thu
745,24,Mon
4,58,Sun
1260,25,Thu
139,10,Mon
94,10,Tue
1061,42,Thu
1080,58,Sun
854,36,Mon
1128,53,Tue
108,62,Sun
460,8,Sun
501,13,Sat
1001,46,Wed
496,12,Sat
1310,47,Thu
522,18,Sun
144,49,Sun
921,46,Wed
1174,74,Fri
843,31,Wed
385,7,Mon
7,16,Wed
1377,67,Sat
416,15,Sat
1326,33,Sat
803,24,Sun
327,6,Mon
553,38,Mon
1028,20,Sun
765,43,Fri
754,30,Tue
932,49,Wed
556,44,Wed
68,22,Fri
1218,53,Tue
1382,43,Tue
1109,56,Tue
693,21,Tue
1231,41,Thu
683,12,Sun
636,29,Thu
511,15,Sun
427,22,Fri
985,73,Thu
1358,48,Mon
191,6,Wed
794,34,Thu
508,44,Mon
967,39,Fri
1372,45,Tue
92,55,Sat
206,6,Fri
1065,66,Thu
1312,49,Fri
1033,37,Sun
228,7,Fri
178,10,Thu
1225,47,Thu
623,38,Fri
1255,49,Fri
1093,29,Fri
1341,74,Sat
142,5,Thu
1047,42,Fri
798,33,Thu
43,16,Fri
239,10,Thu
743,37,Sat
1226,49,Sat
312,4,Wed
118,14,Fri
1281,40,Sat
1058,46,Tue
1422,30,Thu
1090,57,Mon
693,29,Sat
1235,70,Fri
1257,57,Mon
365,8,Tue
245,25,Sun
1340,29,Fri
1075,54,Wed
492,40,Mon
607,18,Sat
184,51,Sun
511,15,Sun
231,12,Fri
747,32,Sat
215,5,Tue
651,28,Sat
1187,48,Tue
745,19,Mon
384,9,Wed
1380,37,Wed
655,23,Thu
403,16,Sun
149,19,Tue
896,36,Wed
107,9,Tue
689,34,Wed
407,18,Fri
284,1,Tue
227,51,Sun
968,34,Thu
805,29,Thu
239,31,Sat
211,8,Mon
1154,41,Thu
916,36,Fri
999,50,Tue
45,33,Tue
529,38,Fri
586,34,Mon
926,26,Tue
605,23,Wed
477,44,Fri
795,27,Fri
82,20,Wed
652,40,Sun
1083,43,Thu
496,10,Sun
707,43,Thu
728,29,Wed
298,75,Sat
1017,49,Mon
520,39,Fri
383,13,Sun
356,9,Mon
990,42,Sun
730,37,Thu
1106,81,Fri
601,24,Wed
524,47,Wed
496,35,Mon
361,6,Fri
647,30,Mon
1425,33,Sat
251,7,Mon
1438,19,Mon
681,22,Sat
814,29,Wed
645,22,Thu
957,25,Sun
243,10,Wed
468,31,Fri
849,44,Sat
68,17,Tue
848,31,Mon
662,29,Mon
69,55,Sun
567,25,Wed
574,35,Mon
491,7,Sun
557,19,Sat
504,5,Sat
43,60,Sun
816,31,Fri
392,7,Sat
81,26,Fri
1026,54,Mon
834,30,Fri
483,15,Sat
1065,47,Sat
214,10,Mon
262,8,Fri
1424,19,Sun
1021,44,Sat
1002,61,Tue
1317,21,Sun
833,22,Thu
1215,40,Mon
287,2,Wed
797,45,Mon
989,51,Sat
1282,43,Sat
645,37,Sun
499,36,Mon
337,17,Sun
1012,50,Fri
160,17,Wed
250,16,Mon
151,3,Wed
95,72,Sun
1041,59,Thu
1140,62,Fri
1413,60,Fri
620,33,Mon
825,35,Fri
543,40,Mon
256,21,Sun
52,21,Mon
1077,49,Sun
511,17,Sun
486,13,Sat
280,31,Sat
388,10,Mon
902,33,Tue
1352,75,Sat
507,41,Fri
107,34,Sun
942,66,Thu
885,44,Sun
469,13,Sat
1428,65,Fri
19,61,Sat
1326,46,Sun
1032,17,Sun
1318,28,Mon
1383,26,Sat
882,41,Mon
383,10,Thu
1357,26,Wed
1327,43,Thu
495,19,Sat
1338,50,Fri
925,43,Sun
559,33,Fri
1277,41,Sun
1114,61,Fri
784,29,Sat
440,27,Thu
1014,42,Thu
631,31,Mon
367,13,Thu
777,31,Mon
741,36,Fri
651,32,Wed
612,37,Sun
